id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,2025-239276,2025-01-03,000001,Vente,160000,142,Unnamed: 6,RUE LAREVELLIERE,4650,49100,49007,Angers,49,Unnamed: 13,Unnamed: 14,49007000CI0009,Unnamed: 16,Unnamed: 17,60,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,1,3,Dépendance,Unnamed: 31,0,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,-0.52765,47.471092,annee,mois,prix_m2,type_encode
2024-586707,2024-01-03,1.0,Vente,325000.0,33.0,,CHE DE LA VAZEE,0064,49610.0,49167.0,Les Garennes sur Loire,49.0,,,49167000AN0137,,,,,,,,,,,,,0.0,1.0,Maison,132.0,5.0,AG,terrains d'agrément,,,2554.0,-0.485219,47.398093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,2462.121212121212,1
2024-586708,2024-01-11,1.0,Vente,153400.0,37.0,,AV PIERRE MENDES FRANCE,0958,49240.0,49015.0,Avrillé,49.0,,,49015000AZ0501,,,47.0,37.15,,,,,,,,,1.0,2.0,Appartement,37.0,2.0,,,,,,-0.579939,47.494808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,4145.945945945946,0
2024-586709,2024-01-05,1.0,Vente,270000.0,12.0,,RUE LOUISON BOBET,0178,49280.0,49332.0,La Séguinière,49.0,,,49332000AL0458,,,,,,,,,,,,,0.0,1.0,Maison,159.0,7.0,S,sols,,,522.0,-0.9353,47.067718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,1698.1132075471698,1
2024-586710,2024-01-05,1.0,Vente,162600.0,21.0,,AV DE LA VENDEE,0560,49280.0,49343.0,La Tessoualle,49.0,,,49343000AL0427,,,,,,,,,,,,,0.0,1.0,Maison,80.0,5.0,S,sols,,,445.0,-0.852614,47.004552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,2032.5,1
2024-586711,2024-01-08,1.0,Vente,220000.0,18.0,,RUE DU CHANOINE LIBEAU,0430,49600.0,49023.0,Beaupréau-en-Mauges,49.0,,,49023000AM0258,,,,,,,,,,,,,0.0,1.0,Maison,103.0,4.0,S,sols,,,500.0,-1.001123,47.200011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,2135.9223300970875,1
2024-586712,2024-01-10,1.0,Vente,132000.0,11.0,B,AV ROCHECHOUART,0660,49590.0,49140.0,Fontevraud-l'Abbaye,49.0,,,491400000D0760,,,,,,,,,,,,,0.0,1.0,Maison,56.0,2.0,S,sols,,,142.0,0.050209,47.182407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,2357.1428571428573,1
2024-586713,2024-01-12,1.0,Vente,110327.0,6.0,,RUE DES DEUX HAIES,1821,49500.0,49331.0,Segré-en-Anjou Bleu,49.0,,,49331305AB0384,,,,,,,,,,,,,0.0,1.0,Maison,101.0,4.0,S,sols,,,153.0,-0.74541,47.706848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,1092.3465346534654,1
2024-586714,2024-01-10,1.0,Vente,300000.0,16.0,,RUE DE CHAMPIGNE,0010,49460.0,49135.0,Feneu,49.0,,,49135000AC0058,,,,,,,,,,,,,0.0,1.0,Maison,161.0,6.0,S,sols,,,285.0,-0.592533,47.571612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,1863.3540372670807,1
2024-586715,2024-01-09,1.0,Vente,90000.0,32.0,,RUE DU VAL,0100,49390.0,49221.0,Mouliherne,49.0,,,49221000AB0085,,,,,,,,,,,,,0.0,1.0,Maison,120.0,5.0,S,sols,,,520.0,0.020128,47.467417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,750.0,1
2024-586716,2024-01-09,1.0,Vente,113000.0,56.0,,RUE HENRI ROBERT,2270,49300.0,49099.0,Cholet,49.0,,,49099000BW0433,,,16.0,86.1,,,,,,,,,1.0,1.0,Maison,86.0,5.0,,,,,,-0.886733,47.0489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,1313.953488372093,1
